Time	stat-140325-141141-1.txt	stat-140325-141803-2.txt	stat-140325-142325-3.txt	stat-140325-142843-4.txt	stat-140325-143543-5.txt	stat-140325-144118-6.txt	stat-140325-144646-7.txt	stat-140325-145638-8.txt	stat-140325-150236-9.txt	stat-140325-150735-10.txt	stat-140325-151320-11.txt	stat-140325-151904-12.txt	stat-140325-152845-13.txt	stat-140325-153619-14.txt	stat-140325-155215-15.txt	stat-140325-160153-16.txt	stat-140325-160905-17.txt	stat-140325-161439-18.txt
190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
191	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	
192	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	
193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	
195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	
197	1	1	1	1	1	1	1	1	21	1	1	1	1	1	19	1	1	1	
198	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	
199	1	1	0	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	
200	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	
201	1	3	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	
202	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	1	
203	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	
204	1	1	1	1	3	1	1	1	0	1	1	1	1	1	0	3	1	1	
205	3	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	
206	1	1	1	1	1	1	3	1	0	1	1	1	1	1	0	1	1	1	
207	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	
208	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	
209	1	1	21	3	1	1	1	1	0	1	1	19	1	1	0	1	1	1	
210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
211	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	
212	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	
213	1	1	0	1	1	1	1	1	-	1	1	0	1	1	-	1	3	1	
214	1	1	0	1	1	1	1	1	-	1	1	2	1	1	-	1	1	1	
215	1	1	0	1	1	1	1	1	-	1	1	0	1	1	-	1	1	1	
216	1	1	0	1	1	1	1	0	-	1	1	0	1	1	-	1	0	1	
217	1	1	0	1	1	1	1	1	-	1	3	0	1	1	-	1	1	1	
218	1	1	0	1	1	3	1	1	-	1	0	0	1	1	-	1	1	1	
219	1	1	0	1	1	1	1	1	-	3	1	0	1	1	-	1	1	1	
220	1	1	0	1	1	1	1	1	-	1	1	0	1	1	-	1	1	1	
221	1	1	0	1	1	1	1	1	-	1	1	0	1	1	-	1	1	1	
222	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	1	1	
223	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	1	1	
224	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	1	1	
225	1	1	0	1	1	1	1	1	-	1	1	0	1	1	-	1	1	1	
226	1	1	0	1	1	1	1	3	-	1	1	0	1	1	-	1	1	1	
227	1	1	2	1	1	1	1	1	-	1	1	2	1	1	-	1	1	1	
228	1	1	0	1	1	1	1	1	-	1	1	-	1	1	-	1	1	1	
229	1	1	0	1	1	1	1	1	-	1	1	-	1	1	-	1	1	1	
230	1	1	0	1	1	1	1	1	-	1	1	-	1	1	-	1	1	1	
231	1	1	0	1	1	0	1	1	-	1	1	-	1	1	-	1	1	1	
232	1	1	0	1	1	1	1	1	-	1	1	-	1	1	-	3	1	1	
233	1	1	0	1	1	1	1	1	-	1	1	-	3	3	-	1	1	1	
234	1	1	0	0	1	1	1	1	-	1	1	-	1	1	-	1	1	1	
235	1	0	2	1	2	1	1	1	-	1	1	-	1	1	-	1	1	1	
236	1	3	-	1	1	1	1	1	-	0	1	-	1	1	-	1	3	1	
237	1	1	-	1	1	0	0	1	-	0	1	-	1	1	-	1	1	1	
238	1	1	-	1	1	0	1	1	-	0	1	-	1	1	-	1	1	1	
239	1	1	-	1	1	0	1	1	-	0	1	-	1	1	-	1	1	1	
240	1	1	-	1	1	0	1	1	-	0	0	-	1	1	-	1	1	2	
241	1	0	-	1	0	0	1	1	-	0	0	-	0	1	-	1	1	0	
