Time	stat-140325-170333-Porta8-1.txt	stat-140325-170728-Porta8-2.txt	stat-140325-171101-Porta8-3.txt	stat-140325-171911-Porta8-4.txt	stat-140325-172134-Porta8-5.txt	stat-140325-172357-Porta8-6.txt	stat-140325-172619-Porta8-7.txt	stat-140325-172842-Porta8-8.txt	stat-140325-173105-Porta8-9.txt	stat-140325-173328-Porta8-10.txt	stat-140325-173551-Porta8-11.txt	stat-140325-173813-Porta8-12.txt	stat-140325-174036-Porta8-13.txt	stat-140325-174259-Porta8-14.txt	stat-140325-174521-Porta8-15.txt	stat-140325-174744-Porta8-16.txt	stat-140325-175006-Porta8-17.txt	stat-140325-175228-Porta8-18.txt
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
73	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
93	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
94	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
96	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
97	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
98	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
