Time	stat-140323-165754-Porta80-1.txt	stat-140323-170110-Porta80-2.txt	stat-140323-170443-Porta80-3.txt	stat-140323-170827-Porta80-4.txt	stat-140323-171146-Porta80-5.txt	stat-140323-171538-Porta80-6.txt	stat-140323-172116-Porta80-7.txt	stat-140323-172430-Porta80-8.txt	stat-140323-175630-Porta80-9.txt	stat-140323-180112-Porta80-10.txt	stat-140323-180435-Porta80-11.txt	stat-140323-181113-Porta80-12.txt	stat-140323-181502-Porta80-13.txt	stat-140323-181815-Porta80-14.txt	stat-140323-182337-Porta80-15.txt	stat-140323-182724-Porta80-16.txt	stat-140323-183053-Porta80-17.txt	stat-140323-183416-Porta80-18.txt	stat-140323-184039-Porta80-19.txt	stat-140323-211037-Porta80-20.txt	stat-140323-211944-Porta80-21.txt	stat-140323-212256-Porta80-22.txt	stat-140323-212658-Porta80-23.txt	stat-140323-213104-Porta80-24.txt	stat-140323-213427-Porta80-25.txt	stat-140323-213801-Porta80-26.txt	stat-140323-214220-Porta80-27.txt	stat-140323-214643-Porta80-28.txt	stat-140323-215116-Porta80-29.txt	stat-140323-215431-Porta80-30.txt
47	1308	1702	1487	1375	1803	512	1294	1190	1521	1100	1237	1236	1375	1090	0	1560	1506	449	0	1229	0	1133	871	1565	1243	0	1198	1741	1396	1366	
48	1098	1644	650	1524	1260	1298	563	1465	1667	1186	1219	1417	1323	1315	1180	1270	1780	1499	975	1168	0	1538	1256	1600	1287	471	1501	1033	119	1564	
49	1225	1355	667	1380	1477	1116	1393	1279	1403	1716	1206	1297	1283	1063	1442	1215	1490	1092	1536	1652	464	1410	1163	1015	1397	1470	1246	1224	0	1441	
50	1553	1439	1625	1148	752	1127	942	1154	1209	1083	1205	1429	629	1641	1535	488	1032	959	1748	1133	1234	1162	1222	1421	791	1401	1460	541	0	1458	
51	1628	789	1232	1689	509	1066	1384	1544	1256	119	1396	1525	0	1456	686	1197	0	1335	1410	770	1453	1317	82	1200	924	1147	314	0	1283	1219	
52	934	1724	1670	231	1160	1361	1372	1130	1354	1302	1297	1311	762	1582	0	1293	333	1443	1369	0	109	1291	0	1173	1109	1396	0	0	1317	1405	
53	1627	1103	383	1277	1228	1229	711	1276	1482	1802	1340	1501	1596	1433	503	1464	1588	1391	1205	35	0	1416	344	1138	1584	1350	0	285	1764	1328	
54	1422	1328	0	1532	1163	1094	0	1490	1280	1309	254	1553	1178	1046	1627	1481	1348	1500	1674	1332	0	1363	1615	1333	1284	1539	0	1203	1363	1679	
55	1040	1347	0	1045	1517	1325	0	1470	1329	1242	0	1449	1535	192	1507	474	223	1623	1325	1690	1135	0	1580	321	913	1095	0	1600	1516	1110	
56	1127	0	1279	1533	985	1074	1059	1216	1458	756	0	1342	1414	0	1497	0	0	1250	1678	740	1649	173	341	0	0	596	0	43	1310	1343	
57	652	0	1482	0	469	1550	1419	405	1349	1161	798	786	1736	958	1206	264	0	1106	1338	0	1605	1283	0	0	0	44	623	0	1348	587	
58	437	888	369	0	1351	1333	1560	581	1557	1616	1428	0	988	868	1282	1592	0	1160	1518	831	1388	1421	0	881	711	1431	792	609	1154	0	
59	1261	1165	0	0	1460	1161	1420	1457	1273	1949	1234	229	1122	1239	1371	1623	0	915	1959	1331	1423	1236	1473	1172	1600	1368	0	1282	364	0	
60	1341	1201	848	362	1356	1279	829	1406	815	1455	445	1233	561	1172	1270	737	596	1279	1382	1316	1538	0	1200	475	1269	1485	0	1198	1619	453	
61	1455	1072	923	1285	1677	1239	538	1274	341	98	1658	1223	1470	1512	1537	0	1247	1268	131	709	1388	0	1408	0	624	636	0	1417	1734	1308	
62	1393	1140	1200	823	1328	1304	1295	1257	1715	468	1308	1548	1318	594	1229	42	0	1518	0	0	1464	473	1494	169	0	0	0	1382	1442	976	
