Time	stat-140323-165754-Porta90-1.txt	stat-140323-170110-Porta90-2.txt	stat-140323-170443-Porta90-3.txt	stat-140323-170827-Porta90-4.txt	stat-140323-171146-Porta90-5.txt	stat-140323-171538-Porta90-6.txt	stat-140323-172116-Porta90-7.txt	stat-140323-172430-Porta90-8.txt	stat-140323-175630-Porta90-9.txt	stat-140323-180112-Porta90-10.txt	stat-140323-180435-Porta90-11.txt	stat-140323-181113-Porta90-12.txt	stat-140323-181502-Porta90-13.txt	stat-140323-181815-Porta90-14.txt	stat-140323-182337-Porta90-15.txt	stat-140323-182724-Porta90-16.txt	stat-140323-183053-Porta90-17.txt	stat-140323-183416-Porta90-18.txt	stat-140323-184039-Porta90-19.txt	stat-140323-211037-Porta90-20.txt	stat-140323-211944-Porta90-21.txt	stat-140323-212256-Porta90-22.txt	stat-140323-212658-Porta90-23.txt	stat-140323-213104-Porta90-24.txt	stat-140323-213427-Porta90-25.txt	stat-140323-213801-Porta90-26.txt	stat-140323-214220-Porta90-27.txt	stat-140323-214643-Porta90-28.txt	stat-140323-215116-Porta90-29.txt	stat-140323-215431-Porta90-30.txt
58	197504	404624	255400	0	675532	648948	670348	216692	625876	624204	603528	0	564256	651932	683484	665848	0	601676	652504	440304	535244	638892	0	459976	274524	568848	364212	258180	538192	0	
59	600092	678576	0	0	679912	540820	680760	689940	587816	789420	691808	156780	576672	594600	544488	741680	0	611848	795940	627940	631296	631316	674272	551364	708108	622504	0	641328	153944	0	
60	613592	662348	387232	190776	604352	665664	425780	593432	360952	595452	169464	617392	292388	543352	533032	327596	309752	564916	588984	570404	652828	0	592808	270680	627172	645256	0	622160	660992	235056	
61	672388	566348	493236	606560	728460	628364	200808	628832	132960	0	680840	550808	662128	656952	683152	0	581416	550776	72832	343956	621524	0	607156	0	285760	308512	0	625972	645412	614012	
62	637452	527676	578640	455476	684524	602944	629708	566628	695544	267900	647440	638048	650228	232224	578536	36520	44228	660340	0	0	658368	140496	663652	44332	0	0	0	552880	558420	542368	
63	484148	633880	627020	533328	566520	264284	542696	658468	578352	537144	603152	714284	533484	0	568704	594568	41644	608500	0	0	620648	715632	686388	618204	0	0	197704	682672	600980	16500	
64	355392	693904	640572	599552	651212	688632	610704	167288	660420	594408	717548	577704	641688	341640	570736	652192	612940	631396	0	198388	692588	723116	577000	608692	0	478548	468664	717704	192276	0	
65	671140	680024	730000	632372	611848	670408	659616	521060	649096	516940	29488	242764	366188	539436	668492	549168	630100	97664	424432	616136	618368	54356	615996	654260	35280	633228	0	628200	0	0	
66	732844	391472	623504	652972	650640	750400	650092	603124	654428	0	666656	494468	0	755884	736876	611900	599060	0	600828	621508	553384	0	594484	736976	634420	480732	273024	378676	0	686980	
67	254360	0	866168	765692	753060	717656	758300	721840	768392	0	623000	632172	0	718436	450396	662472	681384	0	0	603420	274680	415804	560332	645168	541600	0	604908	499536	683528	698752	
